Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2018090100   41.9907 525.3240  89.0809 293.0600   3.2821   0.3747
2018090200   52.7989 367.2036  62.0785 291.6648   3.2470   0.0552
2018090300   20.6751 833.1312   0.4597 292.5307   6.1952   0.0052
2018090400   16.4183 657.0488   3.3674 292.6856   4.7916   0.0041
2018090500   25.1219 612.8315  60.4992 293.9666   4.1069   0.0039
2018090600   15.8251 817.9423   0.4400 289.3454   6.9990   0.0027
2018090700   14.3407 806.8035   0.5858 288.7942   4.8982   0.0037
2018090800   22.3440 625.5690  73.5790 287.2865   2.7366   0.0162
2018090900   35.9914 570.4652  46.4985 288.6789   3.2942   0.0200
2018091000   52.0619 552.1066  41.1894 290.1920   3.7182   0.0344
2018091100   53.0489 530.8811  43.0199 290.1945   4.1621   0.1080
2018091200   58.0350 380.3886  60.9899 291.1485   3.0515   0.0357
2018091300   69.2732 467.6029  78.4474 292.6766   2.8173   0.0398
2018091400   69.7867 514.1624  24.0107 291.5662   3.7171   0.0533
2018091500   20.9107 465.7303  16.9269 287.7892   4.4083   0.0332
2018091600   18.5335 560.5737  33.8267 287.4000   3.7147   0.0234
2018091700   29.1524 442.6789 129.5940 291.1011   2.4117   0.0177
2018091800   40.7727 447.0728  72.2600 290.5005   3.0643   0.0510
2018091900   51.8182 449.1602  56.6135 289.9616   2.7612   0.0170
2018092000   41.2428 610.0032  12.6200 287.5940   4.6733   0.0262
2018092100   21.1799 873.9296   9.5168 285.0829   5.9845   0.0198
2018092200   16.4550 822.9280   0.5805 284.3854   5.8010   0.0180
2018092300   19.6047 756.2640   0.4402 284.5412   5.9031   0.0245
2018092400   34.8786 570.8077 124.8929 285.5775   2.4457   0.0426
2018092500   42.0789 465.2656 176.2475 286.9537   2.8179   0.0554
2018092600   47.1209 451.1319  56.3022 286.5440   2.6719   0.0458
2018092700   63.9686 478.5033  54.9986 286.5747   3.6529   0.1350
2018092800   33.3302 623.7650  40.7112 285.0781   4.0643   0.0902
2018092900   16.8545 831.6898   0.8614 283.4212   4.9634   0.0853
2018093000   23.3053 1114.8157   0.4401 284.2782   7.2449   0.0893
2018100100   24.4009 782.9476   1.3837 286.0127   5.7294   0.0898
2018100200   27.0019 566.4808  76.4581 286.2756   3.6300   0.0810
2018100300   34.0239 502.2299 105.7963 286.7278   2.6137   0.0683
2018100400   65.1928 442.8765  89.7074 285.6432   3.0412   0.0577
2018100500   60.3614 419.7404   8.7168 285.1812   4.2661   0.0491
2018100600   16.4670 666.4068   0.4424 281.8614   5.1246   0.0361
2018100700   21.9410 806.0474   0.4471 282.4267   4.7814   0.0276
2018100800   19.1752 859.7227  12.9745 282.5490   4.5508   0.0220
2018100900   18.7508 946.8567   0.4402 279.2507   5.5205   0.0172
2018101000   17.7185 888.1471   7.4780 280.2192   4.4641   0.0147
2018101100   21.5203 564.3657  46.9825 281.0020   3.3740   0.0151
2018101200   51.9806 480.9225  73.1575 283.1209   2.8796   0.0168
2018101300   89.7714 407.1988  55.1996 285.4847   3.0434   0.0278
2018101400  111.7771 478.4128 123.3415 286.5792   2.7564   0.0520
2018101500  105.1865 271.4559  46.3369 282.5161   3.2912   0.0795
2018101600   51.4848 389.3673  55.1817 280.8358   3.1936   0.0545
2018101700   37.2174 392.0535 115.3132 279.1461   2.8641   0.0413
2018101800   45.7868 398.7066 124.2346 281.8582   2.4274   0.0361
2018101900   56.4551 438.2071  40.9348 282.5394   3.0599   0.0319
2018102000   78.5589 364.5225  13.7835 282.1766   3.1237   0.0315
2018102100  107.1860 364.8102  62.8067 282.7469   3.0532   0.0478
2018102200   42.1770 802.1479   0.8374 281.2967   5.5807   0.0674
2018102300   31.8650 477.8657   7.8020 281.9927   4.5558   0.0546
2018102400   64.7553 339.1360  34.7987 283.8441   3.1414   0.0450
2018102500   47.4693 804.0289  18.3927 280.4694   6.0822   0.0385
2018102600   14.6010 1074.2365   0.4441 276.1931   7.6733   0.0298
2018102700   19.9337 949.2221   0.5015 279.7983   6.1785   0.0240
2018102800   16.1916 1084.5182   0.5178 278.3531   6.1844   0.0225
2018102900   21.1537 619.9884   1.9956 276.8392   5.3365   0.0199
2018103000   29.1541 487.3682  37.5557 276.8014   3.7845   0.0176
2018103100   34.7893 340.0686 139.8256 278.4119   3.2173   0.0174
2018110100   58.0836 266.1155 100.5381 280.3907   2.6272   0.0153
2018110200  126.6762 247.1964   9.1036 280.5132   3.0964   0.0140
