Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2019032000   44.9019 1069.3896   9.3789 282.7193   5.9616   0.1255
2019032100   16.5203 930.6276  14.3088 275.7822   5.1329   0.0465
2019032200   13.0681 1546.1759   2.8553 277.2763   5.6036   0.0448
2019032300   21.5363 861.3623   8.6258 276.6420   4.1459   0.0435
2019032400   32.3197 938.0627   3.9650 282.6029   5.2983   0.0326
2019032500   25.1015 1025.2611   1.3005 283.2126   4.8005   0.0246
2019032600   63.1651 508.7218  16.5764 282.2148   3.6439   0.0192
2019032700   38.8034 866.5154  14.0676 280.9241   4.6183   0.0321
2019032800   25.9645 678.7269  27.8683 275.8171   3.3938   0.1854
2019032900   22.2659 1167.7092   8.4769 277.5808   5.8755   0.2245
2019033000   13.2955 1559.9915   0.4630 275.8926   6.1353   0.1845
2019033100   19.6067 1298.2568  11.8760 280.0179   4.1053   0.1388
2019040100   24.2826 883.5417  20.4780 280.4624   3.4153   0.1061
2019040200   34.0543 632.4581  30.7142 280.7766   3.3736   0.0807
2019040300   56.3321 655.9239  14.1105 284.6355   4.2652   0.0622
2019040400   36.9085 1206.0677   5.4346 289.0345   5.6249   0.0433
2019040500   35.7975 552.5115  10.5964 282.6060   5.6977   0.0310
2019040600   34.5737 663.2646  25.5576 283.2249   3.6084   0.0364
2019040700   36.4078 677.7997   3.3670 281.6656   4.6782   0.0717
2019040800   31.4163 578.2455  19.7456 281.0790   4.2633   0.3490
2019040900   32.8628 535.0367   7.5441 277.5613   3.5692   1.7816
2019041000   35.7079 869.9872  43.6569 282.2318   2.7760   0.9156
2019041100   42.8396 1018.4401  20.3062 282.6017   3.3659   0.5549
2019041200   59.9012 1091.8124  12.8114 286.5487   5.0812   0.3542
2019041300   49.2151 1123.0645  11.1326 284.2007   5.0594   0.2338
2019041400   21.9665 1125.9125   0.6682 286.6195   4.8787   0.1499
2019041500   38.7848 1195.0825   6.6210 290.3180   4.6545   0.0967
2019041600   67.4827 1033.7246  13.9702 291.0061   4.1750   0.0658
2019041700   59.9016 916.3106   1.8536 294.3393   7.3895   0.0423
2019041800   30.6013 702.5412  28.0444 284.8129   4.4340   0.0461
2019041900   25.7237 561.1976  31.8136 283.7543   3.5245   0.2992
2019042000   48.1621 365.8597  10.7698 285.9977   3.3932   0.1031
2019042100   65.4184 527.5323  11.2080 286.7242   3.9248   0.0626
2019042200   97.8540 638.4847   3.3892 292.2743   4.5576   0.0626
2019042300   80.5226 683.7162   4.3870 292.5493   4.1943   0.1870
2019042400   27.8814 482.4176   0.4026 280.0222   7.1625   3.6098
2019042500   22.7026 725.1891  21.9096 281.6575   3.4942   3.3768
2019042600   28.8690 846.0221  56.1081 284.3636   2.4762   1.7332
2019042700   37.2539 512.5231  11.3534 281.5837   4.1956   1.0443
2019042800   56.3321 515.3091   9.2925 286.5171   3.8574   0.5769
2019042900   72.7639 818.6360   5.6631 289.6714   5.2533   0.3382
2019043000   15.1523 1125.0948   0.3537 287.6411   7.3797   0.1989
2019050100   18.7976 1260.6414   4.9224 290.7843   4.1049   0.1281
2019050200   30.1906 1538.8221   2.7784 292.4343   3.8851   0.0879
2019050300   51.9760 1255.9520  21.8158 294.3930   3.8304   0.0613
2019050400   48.1330 944.4388   5.3062 292.9302   5.1975   0.0867
2019050500   18.3728 911.2372  10.4800 284.9179   5.8858   0.0391
2019050600   19.4094 1215.6318   7.3272 287.6686   4.1941   0.0269
2019050700   27.6139 1128.8586   6.7008 291.7276   3.7582   0.0185
2019050800   43.6018 1012.6385  30.0101 291.9106   3.6655   0.0129
2019050900   37.2771 1343.6538  29.7637 292.9120   3.0319   0.0090
2019051000   60.2408 1308.7679  22.3150 293.0531   3.9662   0.0375
2019051100   62.3232 901.2414  25.6656 290.9903   3.8777   0.1903
2019051200   53.8482 936.0472   6.7479 286.7255   5.6263   0.2254
2019051300   26.1113 979.1774  13.3337 288.7819   4.8414   0.0723
2019051400   63.7390 924.5698  38.2919 294.3977   3.2341   0.0460
2019051500   71.5818 1076.2921   2.2928 294.4401   5.2665   0.0422
2019051600   56.8062 1179.6218  25.1875 296.9728   3.7610   0.0244
2019051700   62.0799 1138.8250   6.7927 297.0022   4.7261   0.1735
2019051800   43.5135 594.3052   4.7756 290.9541   5.4324   0.4755
2019051900   20.6203 1535.6042   2.0843 286.5208   8.9983   0.0530
2019052000   14.5435 1117.4980   0.3928 288.2855   7.0836   0.0178
2019052100   17.0307 1075.3320   7.2529 292.7928   4.9727   0.0108
2019052200   23.8440 1308.0206  12.5723 297.4373   3.8553   0.0070
2019052300   38.6998 1089.3330  18.5718 300.4547   3.7258   0.0045
2019052400   46.3268 1024.8700  28.3541 300.3010   4.7220   0.0028
2019052500   58.1423 1119.0924  13.6351 299.7469   4.3658   0.4727
2019052600   31.3557 738.7184   8.8010 289.3854   6.6160   0.5661
2019052700   15.2660 1164.5786   4.6466 291.2139   5.5647   0.0014
2019052800   19.3772 1195.0569   7.2338 295.6162   4.1340   0.0009
2019052900   31.1733 1054.7710  19.4951 297.2405   3.6950   0.0005
2019053000   18.5542 1057.8192   0.5385 292.4792   5.7237   0.0003
2019053100   19.3440 1201.8119  19.5131 295.2328   3.6487   0.0003
2019060100   43.8131 1002.5486   2.1873 295.1568   3.2390   0.1680
2019060200   44.1347 1089.8755   1.5571 297.1647   3.9597   0.1406
2019060300   37.1425 1096.1653   2.1069 295.0457   3.3101   0.0801
2019060400   54.1630 531.4341   1.1256 293.7394   4.2258   0.0855
2019060500   48.2122 693.5969   2.2473 295.4794   2.9255   0.1438
2019060600   51.0290 544.0522   1.4056 292.1691   3.4984   0.2779
2019060700   44.6430 909.0888   1.1378 296.6562   4.0948   0.0295
2019060800   21.9601 1587.0406   1.0806 296.6709   5.6511   0.0127
2019060900   23.7792 1038.4524   1.7196 295.1473   4.4529   0.0104
2019061000   34.4466 1130.3545   2.0982 295.1013   3.2830   0.0116
2019061100   43.7917 646.3096   1.3533 295.3069   3.8713   0.0094
2019061200   45.0712 764.1124   1.2973 299.1444   4.7941   0.0619
2019061300   36.2359 605.6750   3.1082 295.9076   3.1642   0.2557
2019061400   32.2958 1077.5226   0.7123 296.8938   3.7545   0.0004
2019061500   27.4864 786.2430   1.1360 295.8278   4.3018   0.0506
2019061600   31.7291 456.2426   2.1661 291.1035   3.7893   0.1485
2019061700   48.6111 573.7087   2.0933 295.9069   3.5187   0.0390
2019061800   52.7607 652.8505   2.9300 297.5948   2.9560   0.1715
2019061900   59.2114 742.7190   2.4852 298.3656   2.9144   0.0782
2019062000   50.3357 1079.4557   3.9590 300.7840   2.6574   0.0608
2019062100   45.7712 456.8760   1.9013 295.4103   3.1878   0.4389
2019062200   34.7752 884.3508   2.1852 298.4827   2.6964   0.0073
2019062300   43.9492 958.8632   2.1295 300.3604   2.9762   0.0032
2019062400   46.9028 1137.3494   2.4328 300.6161   3.6459   0.0030
2019062500   50.9675 1081.8477   1.2424 298.9836   4.7190   0.0075
2019062600   50.3370 649.2571   1.2534 294.9834   4.2328   0.0007
2019062700   46.8988 567.8185   1.1697 297.1736   3.3513   0.0768
2019062800   41.7694 776.4473   1.7844 296.6367   3.2381   0.0257
2019062900   20.7475 1220.3706   1.0129 297.2315   5.4325   0.0076
2019063000   17.9293 1127.3979   0.7810 295.3896   4.3579   0.0036
2019070100   20.9670 1250.6061   3.5499 298.5559   2.4632   0.0740
2019070200   30.3294 848.9592   2.5409 297.8827   2.9359   0.1118
2019070300   26.6031 1207.1930   3.3822 300.4418   2.6421   0.0022
2019070400   39.7653 1231.8137   1.9526 302.6235   3.7399   0.0523
2019070500   29.2254 799.2180   0.9132 297.4849   5.3793   0.5683
2019070600   22.1161 687.1678   0.5065 292.8422   5.9829   0.5911
2019070700   31.7084 383.2482   3.0817 290.8142   3.0927   0.0991
2019070800   36.7091 701.9145   3.0112 296.2577   2.4810   0.0245
2019070900   40.8162 630.2745   4.3072 295.6502   2.1463   0.2418
2019071000   42.1554 519.3318   2.4939 292.7216   3.1101   0.2026
2019071100   39.4638 685.9966   2.4512 294.7261   2.7013   0.0289
2019071200   41.8989 877.3908   3.4043 298.9624   2.5747   0.0345
2019071300   41.5834 820.8537   2.6930 299.2209   2.5551   0.1109
2019071400   33.6756 774.8604   3.6569 298.6091   2.4290   0.1257
2019071500   43.7966 821.5818   2.4990 299.2513   2.6646   0.1272
2019071600   44.5511 402.3044   4.0357 296.0129   2.4430   0.5155
2019071700   60.8387 525.8598   3.0887 297.0122   2.5975   0.1539
2019071800   62.9019 695.0698   2.6179 298.0267   3.0293   0.0410
2019071900   53.7830 569.7609   0.8337 297.1365   3.8413   0.3154
2019072000   58.4291 384.5550   1.6175 294.8873   3.3188   0.0279
2019072100   53.9075 649.9383   1.5802 300.8194   3.2639   0.0050
2019072200   61.4595 555.3049   1.3183 299.5828   3.6473   0.6084
2019072300   36.5489 629.5488   3.1780 298.7436   2.6185   0.0121
2019072400   41.4412 765.0187   2.4177 302.4845   2.8080   0.0184
2019072500   34.3114 953.5709   2.0179 301.7741   3.1912   0.1304
2019072600   53.7561 731.7974   1.8218 302.3749   3.0821   0.0124
2019072700   55.9835 959.3641   2.0828 301.1124   4.2780   0.1309
2019072800   51.3953 557.1395   2.4146 300.3241   2.9292   0.7757
2019072900   29.9148 278.1094   2.4742 296.5524   3.4958   1.9253
