Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2016090100   19.2992 629.3459  62.1251 291.2527   4.3117   0.0197
2016090200   27.5252 493.6135 129.9426 291.0482   2.4853   0.0301
2016090300   39.3671 466.3825 118.9936 291.6898   2.3349   0.0686
2016090400   52.8032 392.9866  79.7408 291.1463   3.2279   0.0883
2016090500   34.7249 538.6694 104.3400 293.2236   3.0316   0.0462
2016090600   31.1323 612.9080  66.1204 295.7495   3.2402   0.0354
2016090700   31.2985 633.3571 141.0666 292.9042   2.8838   0.0430
2016090800   30.5797 676.5189 185.9062 291.9703   2.7614   0.0371
2016090900   30.8456 631.1131  81.8235 292.8627   3.3380   0.0303
2016091000   41.5785 581.0710  54.5471 291.5726   2.6318   0.0838
2016091100   41.4563 291.2496 121.3653 288.8696   2.0431   0.3020
2016091200   51.2704 421.8809 178.6655 290.4771   1.8170   0.1221
2016091300   76.7430 459.6154  22.0441 290.6646   2.9978   0.0673
2016091400   77.1214 507.1770  50.5958 292.7676   3.4285   0.0325
2016091500   86.2440 565.8177  99.1721 294.1263   2.5124   0.0298
2016091600   99.8883 536.4800  25.9387 294.1429   3.3820   0.1011
2016091700   38.2038 297.0829  63.8691 289.4720   2.8985   0.2079
2016091800   29.8949 411.0793  43.5336 287.0374   3.2331   0.0714
2016091900   22.9470 628.6649  80.3814 287.2111   2.9379   0.0435
2016092000   33.2281 633.4820 197.0419 288.8934   2.2768   0.0596
2016092100   62.7703 425.5853  41.7401 288.6948   3.2476   0.0593
2016092200   94.0397 354.3892  87.4004 290.4947   2.5733   0.2723
2016092300  106.5579 397.8996  41.3418 291.9084   2.8012   0.0545
2016092400  116.2202 447.6872  58.8120 293.4771   3.7977   0.0614
2016092500  114.7188 416.0019  38.1274 291.7216   3.8710   0.0678
2016092600   70.9615 372.5136 101.5911 290.3806   3.3760   0.1916
2016092700   21.8316 639.0694   0.4421 284.9029   6.0856   0.0503
2016092800   26.9973 493.2448  88.1856 283.1302   2.6142   0.0408
2016092900   63.3826 389.1256 120.5792 286.5979   3.2654   0.0357
2016093000  100.2947 362.4278  94.5572 288.4091   3.0858   0.0456
2016100100  152.4660 311.3331 123.5309 291.1633   2.8995   0.0295
2016100200  140.4178 409.4240  35.2725 290.5216   3.4298   0.0336
2016100300   91.8537 511.6176  20.8248 290.3138   4.5655   0.0440
2016100400   34.9969 301.7921  18.0000 283.2380   4.3056   0.2020
2016100500   53.3417 456.7085  72.3102 285.2280   3.1997   0.0512
2016100600   50.4864 448.0275   8.5832 284.4755   4.3643   0.4231
2016100700   38.2438 535.3010   9.7596 280.9306   4.9605   0.1486
2016100800   20.5627 555.9871  12.6433 280.1343   4.3745   0.0510
2016100900   49.4326 473.2849  72.9747 282.2557   3.4447   0.0429
2016101000   74.5270 435.0668  30.8811 285.2890   4.4055   0.0407
2016101100   60.9892 381.7062  76.6979 282.2845   3.1528   0.0397
2016101200   87.2318 335.0842  68.8992 283.5735   3.2556   0.0474
2016101300  103.6698 344.4129  41.9635 288.4298   3.4104   0.0649
2016101400   82.2412 448.9073  53.1355 288.8619   3.5083   0.0727
2016101500  104.6029 415.6599 220.7988 286.5497   2.6598   0.1898
2016101600   80.0791 469.4691  28.7570 285.6971   3.8382   0.1010
2016101700   56.3038 369.2419  25.4887 283.0896   3.3876   0.0894
2016101800  139.3946 262.3426  49.2874 285.8501   3.0943   0.1008
2016101900  154.2719 339.1646  90.1187 288.4219   3.9857   0.1509
2016102000   36.6497 368.1889  20.0720 280.3058   4.9828   0.3955
2016102100   42.7878 338.7575  91.7847 279.9102   3.6179   0.5452
2016102200   26.4032 433.2398  84.4633 278.2499   3.7868   0.2259
2016102300   38.7035 302.4534 130.5248 278.5823   2.0649   0.1952
2016102400   73.2299 295.2052  44.8790 279.8935   3.1492   0.1950
2016102500   73.8560 415.0671   6.4617 283.3868   4.1922   0.2003
2016102600   35.8859 420.4893  50.5887 279.4318   3.5455   0.1680
2016102700   38.5150 401.5031 123.4072 278.9341   3.4324   0.6350
2016102800   18.6340 672.7200   1.8797 277.1490   4.1608   0.2879
2016102900   41.2870 556.4048  24.2072 276.9382   3.4697   0.2338
2016103000   32.5763 732.5894  19.6100 276.5717   5.5467   0.1941
2016103100   23.5819 718.2060  16.3330 272.3448   3.3412   0.1617
2016110100   53.8487 555.9949  53.4826 275.1537   3.3159   0.1404
2016110200   83.4173 456.2787   4.2016 278.2398   3.8344   0.1179
2016110300   97.1662 276.9978  13.8641 282.2234   4.2742   0.0956
2016110400   88.5759 279.5477  28.0331 284.7379   4.4054   0.0804
2016110500   86.9055 554.3786  88.4497 279.6880   4.5920   0.0692
2016110600   67.0544 394.0210 117.6970 276.6021   3.0606   0.7406
2016110700   34.8937 622.5041  18.4909 274.9000   4.4259   1.3668
2016110800   47.8491 406.1354 122.6399 275.2355   2.4635   1.0634
2016110900  122.5874 474.9000  95.3023 277.3462   4.0883   0.8449
2016111000   60.3330 658.9446  17.1616 276.2414   4.9207   0.7615
2016111100   77.2841 303.9404  22.9316 276.9300   3.4427   0.6406
2016111200   71.5529 336.9471  60.0175 276.5472   3.2004   0.5280
2016111300  107.6465 366.3412  97.9474 279.0986   4.1734   0.4386
2016111400   27.7129 534.1703  11.6032 275.5154   4.3861   0.3624
2016111500   63.9981 334.7640  91.2443 275.3025   3.7735   0.3128
2016111600  105.7749 247.4502  34.2362 277.9667   2.9745   0.2761
2016111700  124.1959 202.8132  78.7267 276.5954   2.7465   0.2567
2016111800  185.2018 219.8755  51.0331 278.7340   2.7631   0.2679
2016111900   73.4601 412.6048  47.2516 276.5494   3.2147   0.2597
2016112000   34.3827 406.7815  19.0793 272.9276   4.2022   1.7817
2016112100   14.4788 794.5834   0.4854 267.6233   6.3135   4.1839
2016112200   18.7518 511.7320  10.2005 267.3896   4.2748   3.6327
2016112300   32.7721 555.8556  13.0914 268.9430   3.7141   3.1913
2016112400   91.3181 379.1743  38.2738 271.4882   3.3036   2.7217
2016112500  120.8588 448.6818  37.2580 274.1756   3.7046   2.2237
2016112600   79.6779 640.8160   8.1734 274.2730   4.8700   1.7738
2016112700   30.7310 462.7542  31.4861 272.8645   4.3127   1.4669
2016112800   65.5207 240.9499  11.3596 275.2655   3.5172   1.2034
2016112900   99.8106 279.3435  50.3433 273.8642   3.5133   1.5855
2016113000   52.8015 624.9495  11.6186 274.1853   4.8640   1.8614
