Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2016010200  183.8875 155.0258 152.7040 270.7047   3.1498   5.0412
2016010300   94.8229 332.7201 152.5573 268.2987   3.7257   4.9267
2016010400   23.9071 456.8644  69.1390 265.2944   4.9423   4.7662
2016010500   32.7427 346.2646 103.2773 265.5317   4.3673   4.6216
2016010600   22.5997 398.7075  60.1519 265.6521   5.3555   4.4836
2016010700   21.3407 422.3454  55.0426 264.9530   5.6651   4.3394
2016010800   38.5062 295.9931 137.7282 265.7371   3.7562   4.2155
2016010900   88.5867 274.9341 135.2658 267.3447   3.4742   4.1112
2016011000   31.3508 432.4736  88.9728 265.8275   4.6054   4.0176
2016011100   17.6048 428.6402  63.4708 263.2194   5.0956   3.9107
2016011200   24.6525 432.2292  71.0317 263.7575   5.5579   3.8005
2016011300   34.4899 397.5077 100.3848 265.8379   4.4388   3.6667
2016011400   58.1787 348.5165 127.8099 267.3328   3.6260   3.5618
2016011500  105.9429 265.2957 209.5204 268.4703   2.6738   3.5244
2016011600   86.6495 361.9069  62.9726 266.0141   4.7677   4.4656
2016011700   26.9306 629.4332  60.3985 260.9863   5.6131   5.0230
2016011800   16.7325 635.6398  93.1010 259.7419   5.6093   4.8375
2016011900   54.2347 321.8774 195.8159 263.4165   2.6653   4.6952
2016012000   94.6542 345.4653 177.3655 265.2714   2.7087   4.7036
2016012100   59.0978 455.7747 129.2873 263.8488   4.5060   5.2634
2016012200   10.1347 854.9202  35.1224 255.8795   6.8158   5.4423
2016012300    8.7220 729.6296   6.9705 253.3870  10.2067   5.2865
2016012400   16.6773 478.0548  39.2618 261.6173   7.9861   5.0744
2016012500   28.7816 411.5493  74.2897 264.8419   5.2215   4.8385
2016012600   39.0157 361.7141 139.0201 264.3207   3.7352   4.6719
2016012700   76.4859 228.4709 204.2097 266.1787   2.5547   4.5412
2016012800   66.7124 309.0392 104.2938 266.0262   3.8721   4.4001
2016012900   47.3591 382.8146 171.8319 263.9569   3.0860   4.3186
2016013000   32.1701 501.8013 125.9315 262.8484   4.0924   4.3653
2016013100   23.9559 519.2646  81.8045 264.1482   5.0003   4.1997
2016020100   21.4705 392.4922  71.9374 266.0905   5.2467   4.0290
2016020200   34.0149 301.7294 138.1016 267.3819   3.5632   3.8572
2016020300   38.3100 434.3513  71.4190 268.5761   5.0160   3.6868
2016020400   22.4414 479.7128  62.5661 267.4698   5.4701   3.5013
2016020500   19.4032 581.0203  51.1382 266.8930   6.1429   3.3354
2016020600   35.1009 431.5351 119.7090 268.0160   3.9521   3.2050
2016020700   42.1961 456.7998  85.3626 270.0370   4.7003   3.0682
2016020800   30.7397 484.0927  65.4907 271.7874   5.4144   2.9282
2016020900   52.1251 260.4244 149.6899 272.5414   3.0421   2.7279
2016021000   92.3513 185.8948 163.5266 275.6544   2.8807   2.4261
2016021100  121.5877 158.4486 196.0445 276.6823   2.5134   2.2921
2016021200   90.6150 343.9780 109.2365 276.0578   5.2136   3.5250
2016021300    9.0372 702.6261   2.3216 265.8796  10.6069   4.9789
2016021400    9.7640 848.1122  13.0016 264.9539   8.1364   4.5743
2016021500   14.9376 785.8086  28.9298 268.8556   7.5721   4.2204
2016021600   21.4057 589.9985  87.6489 271.4753   5.8348   3.8543
2016021700   34.2772 664.0514  60.7399 273.8181   5.1793   3.4030
2016021800   22.7250 549.5963  86.0379 272.2935   5.0100   3.0658
2016021900   16.6007 776.0355  26.0129 269.2071   7.0641   2.8311
2016022000   26.9344 726.2281 143.6196 268.8204   4.2035   2.6162
2016022100   80.6945 575.6533 109.6532 271.6432   4.0652   2.4242
2016022200   36.7670 776.4239  31.6086 270.3694   6.9375   2.2250
2016022300   17.9420 750.5725  82.4997 267.5617   5.1658   2.0697
2016022400   25.1673 953.4113  81.9029 270.3840   4.4873   1.9277
2016022500   27.3506 829.8826 135.5410 271.0982   3.6186   1.7782
2016022600   32.7581 712.0989  62.2471 272.9809   4.9837   1.6414
2016022700   27.4654 716.2329 116.3231 272.3185   3.7352   1.5695
2016022800   17.9964 956.5559  50.1272 268.3137   6.9621   1.4961
2016022900   24.7449 923.2387  52.7723 269.0470   6.9030   1.4891
2016030100   82.0042 421.1216  10.9217 276.7893   3.9915   1.2744
2016030200   80.4658 464.9239  11.8800 280.7251   3.8139   1.0247
2016030300  166.1365 404.4662  14.1747 282.0041   3.9507   0.7572
2016030400  111.7433 531.0708  10.6120 276.9944   5.1493   0.5850
2016030500   36.0074 815.9108  13.3501 274.9716   4.9336   0.4786
2016030600   66.1462 558.8956  21.2936 276.2818   3.8569   0.4314
2016030700   13.3863 925.4472   0.3557 272.0732   7.6269   0.3781
2016030800   12.4491 927.1438   0.4509 268.8884   5.8989   0.3259
2016030900   14.2179 1056.6204   0.9246 269.2026   5.3794   0.2860
2016031000   18.5889 877.8618   8.6007 270.4290   4.4294   0.2515
2016031100   32.5238 718.9291  23.9581 272.8807   2.9600   0.2212
2016031200   66.6935 672.0089  14.9565 275.5274   4.9050   0.1848
2016031300   28.5198 719.9462  10.4580 275.2563   4.3454   0.1462
2016031400   55.2410 583.0616  18.5906 280.0914   3.1772   0.1158
2016031500  108.1061 533.5056  26.7533 281.3109   4.0809   0.0866
2016031600  164.4469 567.7634  14.4149 283.6145   3.8234   0.0661
2016031700  143.5470 556.5039   8.8072 285.0135   4.5506   0.0522
2016031800   62.8658 573.3171   1.3250 282.8413   4.7740   0.0399
2016031900   52.2653 433.9898  14.4662 279.2348   3.5126   0.0324
2016032000   61.6088 443.9726  88.4647 282.1708   2.4530   0.0273
2016032100   95.4461 546.0941  15.6197 285.3844   4.2442   0.0227
2016032200   51.4969 755.3205   9.8377 279.0025   5.2184   0.2051
2016032300   17.3519 1004.6284   1.5065 276.6648   4.9232   0.1485
2016032400   19.7775 902.2276  29.4363 277.1277   3.8069   0.1166
2016032500   25.4598 998.1863  26.3837 277.9392   3.8077   0.0931
2016032600   20.0957 867.3021   4.4387 281.1387   4.5776   0.0709
2016032700   32.9197 896.2637   5.0691 284.3361   4.2126   0.0544
2016032800   40.1347 1128.8619  10.5509 283.7372   5.8737   0.0419
2016032900   23.7070 927.3749  15.8539 281.5345   4.5900   0.0321
2016033000   57.9581 491.3256  19.4120 284.2065   4.0865   0.0248
2016033100   76.8621 966.1298   4.0842 290.6049   6.9604   0.0225
2016040100   21.0958 890.6406   0.4657 283.3588   6.3352   0.0324
2016040200   15.3267 982.9417   8.3076 282.0703   4.1669   0.0563
2016040300   29.2747 912.8374  31.8108 282.6566   3.0309   0.0390
2016040400   58.4246 1011.4546  11.9116 285.4293   3.9890   0.0301
2016040500   81.8363 652.2626  22.0162 285.0926   3.9959   0.0218
2016040600   93.4465 818.9924   6.0975 288.3893   5.6395   0.0170
2016040700   20.6711 1120.5137   5.8160 285.3835   5.0386   0.0111
2016040800   26.1109 932.6117   4.9113 287.0248   5.9920   0.0073
2016040900   44.5763 751.7145  18.5647 284.7642   4.6848   0.0050
2016041000   40.4645 605.2831  14.6266 280.4273   4.1726   0.0036
2016041100   46.8700 457.0967  24.9219 281.5521   4.2836   0.2087
2016041200   78.5642 599.6961  63.1084 284.3861   2.8360   0.1250
2016041300   46.1239 1052.2003   1.8848 286.5542   5.9469   0.0868
2016041400   32.0437 643.6128  15.4208 284.4761   4.2566   0.0612
2016041500   59.8741 696.2084  21.6399 288.9402   5.5292   0.2199
2016041600   21.7353 1163.2723   3.0074 283.5153   6.5753   0.0380
2016041700   20.7819 1487.5938  10.9852 283.1877   5.7068   0.1488
2016041800   24.6947 1113.2014  23.8405 283.7215   3.8029   0.2456
2016041900   64.8378 481.6197   4.6197 283.8995   4.8216   0.1934
2016042000   61.7475 822.1599  12.0129 287.9939   3.4074   0.1154
2016042100   34.3555 1077.8773   6.0132 289.4853   6.2369   0.0733
2016042200   20.4534 890.7190   3.0920 285.9764   5.2744   0.0467
2016042300   30.5133 784.1111  20.4723 285.3610   3.8874   0.0332
2016042400   67.7655 836.0161   6.1049 291.4564   5.7709   0.0309
2016042500   74.4080 784.2195   4.4892 290.2699   5.3426   0.0282
2016042600   65.5899 541.0895  25.7634 287.2973   3.8547   0.0537
2016042700   73.4502 537.6156  60.5764 287.6934   2.4382   0.0377
2016042800   59.2106 758.5626  24.0006 288.9060   3.7618   0.0292
2016042900   89.7546 737.3266  11.3045 293.1790   5.3419   0.0477
2016043000  103.8920 584.9421  24.0632 292.8598   4.2157   0.0226
2016050100   83.7917 901.8954  12.6622 296.4811   5.2689   0.0674
2016050200   30.2384 586.0656   1.3095 284.7284   6.0541   0.3969
2016050300   18.0999 1235.6658   2.3071 287.6575   7.1421   0.0055
2016050400   32.9232 943.9371  20.7797 291.9202   4.2319   0.0994
2016050500   37.4275 1105.5627  13.5374 288.5409   6.3363   0.0276
2016050600   18.0403 913.8302   0.3950 286.9881   7.0632   0.0040
2016050700   29.2765 860.8895  24.9627 288.6674   3.4025   0.0023
2016050800   50.3126 798.3346  29.2524 291.2728   4.1876   0.0017
2016050900   42.5948 654.1996  19.7530 288.6523   3.3262   0.0235
2016051000   63.8267 1040.8484  22.5014 292.4653   3.5803   0.0052
2016051100   86.5334 966.6320   3.1753 296.4943   6.4632   0.5102
2016051200   21.8447 890.1324  17.5493 285.1193   6.2202   0.0232
2016051300   35.4095 981.9296  10.9143 289.4148   5.0380   0.1433
2016051400   43.8602 546.1737   6.2438 285.6965   4.4908   0.1822
2016051500   17.8205 1531.1337   5.3686 287.5738   5.8158   0.0003
2016051600   26.9351 1151.2487   6.5098 293.5658   4.3016   0.0002
2016051700   53.2963 1084.3419  26.9820 295.5159   4.1106   0.0001
2016051800   77.5731 797.5382  25.5069 294.3751   4.0862   0.0002
2016051900   79.7561 700.7440  14.9538 292.6810   4.2297   0.0003
2016052000   76.7165 614.1862   8.4698 292.1338   3.7788   0.0004
2016052100   58.7840 762.5443   4.1728 292.2931   4.1757   0.0005
2016052200   55.7037 759.6823  19.9312 292.6436   3.1164   0.0005
2016052300   66.0861 709.4609  25.1373 289.0963   3.2825   0.0816
2016052400   21.5572 1430.2246   0.7106 292.8315   5.7583   0.0092
2016052500   22.4472 1302.4099   0.4362 293.3821   4.9750   0.0061
2016052600   25.0219 787.2997  27.2875 291.9673   3.8225   0.0058
2016052700   50.8219 1021.6846   7.5040 294.3650   4.7631   0.0036
2016052800   53.4310 894.3747   5.9234 294.9300   4.9264   0.0023
2016052900   38.3759 736.7408  33.1348 292.2507   3.4814   0.0015
2016053000   69.4406 1034.6276  24.5924 298.9605   3.9811   0.0011
2016053100   36.9123 574.5693  22.3380 292.2289   4.9110   0.0008
2016060100   47.4918 778.4533   1.7458 293.8363   3.3168   0.0005
2016060200   52.5068 812.0978   1.4221 295.8704   3.7211   0.0004
2016060300   80.0583 774.8030   2.5911 294.7919   2.9857   0.0043
2016060400   86.9488 1068.3529   1.7121 294.3178   3.1894   0.0086
2016060500   74.3168 845.8591   1.7707 293.2430   3.4050   0.0138
2016060600   73.9008 852.4807   1.5796 294.5095   3.6649   0.3046
2016060700   57.3470 699.6714   2.4625 292.1342   2.7422   0.0543
2016060800   89.1745 924.8679   2.3839 295.5256   2.9801   0.0443
2016060900   78.1959 1037.0198   1.4185 298.0851   5.0223   0.1432
2016061000   34.6539 1287.4607   0.8675 296.0544   5.6498   0.0626
2016061100   27.7681 1010.6121   2.8693 294.2588   3.4086   0.0215
2016061200   45.2421 1091.5505   2.9109 296.2713   2.9188   0.1097
2016061300   50.2372 577.7718   0.6179 292.3611   4.7475   1.6396
2016061400   34.6804 614.9515   0.5652 289.0427   6.8818   0.8418
2016061500   27.6626 967.0429   2.2064 294.6866   4.1970   0.0180
2016061600   31.0736 1173.3677   0.9847 298.9221   4.1676   0.0110
2016061700   30.7784 790.9009   2.0055 297.7092   3.1747   0.0487
2016061800   37.5860 980.3433   3.7942 297.6556   2.7454   0.0071
2016061900   59.6546 965.1192   2.2513 299.6664   3.1827   0.0139
2016062000   69.2858 643.6012   2.4411 297.7533   3.0064   1.1866
2016062100   66.2057 649.8073   3.5994 298.1881   2.7345   0.0493
2016062200   58.2122 791.7146   1.9247 300.0994   3.6061   0.0571
2016062300   46.9743 870.2587   1.9378 296.9908   3.9370   0.0119
2016062400   13.7229 1445.3575   0.4563 296.5997   5.4819   0.0085
2016062500   26.2671 1208.9138   1.8577 299.3514   3.5644   0.0059
2016062600   46.0524 1201.6921   2.3848 300.5833   3.7032   0.0176
2016062700   66.5033 772.7860   1.0207 295.8881   4.4627   0.5459
2016062800   65.0382 542.7918   1.6942 294.0930   4.0440   1.1591
2016062900   92.1977 675.6119   3.4771 296.6450   2.7093   0.1604
2016063000   46.5297 698.4515   2.3443 296.2911   3.8167   0.2958
2016070100   37.3622 878.3612   1.5384 295.4619   3.2162   0.0098
2016070200   43.8576 1051.1262   2.7079 298.2091   2.8308   0.0084
2016070300   82.4847 657.2966   2.4885 296.9157   3.0185   0.3735
2016070400   98.1745 459.9957   2.0725 294.5293   2.9853   0.1045
2016070500   80.2272 621.7065   2.9915 296.1157   2.6636   0.0430
2016070600   73.4452 663.8317   2.2240 296.6254   3.1773   0.0002
2016070700   88.7121 661.0353   2.1976 297.1400   2.9587   0.0310
2016070800   84.9302 622.4857   1.7825 298.0078   3.1976   0.0522
2016070900   86.2354 631.7746   1.8032 299.1777   2.8100   0.0638
2016071000   88.4787 812.7035   1.8452 300.2635   3.1420   0.0016
2016071100   77.6826 695.9460   1.4541 299.5859   3.7678   0.0935
2016071200   43.8996 290.7352   3.0982 295.2614   2.7528   0.5220
2016071300   34.6767 852.5931   2.1026 298.5804   2.8888   0.0005
2016071400   41.2243 564.5800   2.5165 296.4637   2.6954   0.7329
2016071500   36.3381 411.3804   2.0375 292.4247   2.8680   0.2906
2016071600   50.0173 429.4095   4.8777 292.9333   1.8800   0.0630
2016071700   72.9845 555.1063   4.1108 294.8011   2.0240   0.0274
2016071800   97.3361 572.5017   2.0191 295.9455   3.1972   0.4141
2016071900   78.3420 325.6835   1.3882 292.6495   3.9226   0.6283
2016072000   31.1629 451.4145   0.4685 292.3377   7.3853   2.9343
2016072100   46.9088 292.6206   2.6756 294.9515   2.7974   0.2533
2016072200   80.2399 470.6322   3.1484 297.5665   2.5711   0.0350
2016072300   87.7515 476.4183   2.1241 300.2386   2.9198   0.1317
2016072400   70.8543 504.4235   3.8255 300.1798   2.4060   1.3488
2016072500   41.0548 410.4839   2.0493 296.4435   3.6526   0.5820
2016072600   33.5082 592.0659   2.1060 297.3323   2.6612   0.0001
2016072700   56.8791 547.0634   2.8031 299.6231   2.7446   0.0495
2016072800   74.3686 489.4495   2.6732 299.0638   2.9144   0.4310
2016072900  108.5433 570.1042   4.1701 299.0066   2.3748   0.0401
2016073000   89.0825 334.0921   3.7732 297.0826   2.5071   0.5918
2016073100   65.0751 360.5093   2.7976 297.9145   2.6013   0.7591
2016080100   64.2330 458.6743   3.4752 297.4620   2.4036   0.2294
2016080200   43.3807 553.6611   2.1688 296.8260   3.1764   0.0079
2016080300   53.4646 509.5578   2.1853 296.8241   2.8168   0.0004
2016080400   71.5116 481.7724   2.8601 297.3061   2.5341   0.0062
2016080500   71.8725 457.4299   2.4847 297.4340   2.6066   0.0616
2016080600   72.9261 540.8213   2.0076 297.9526   3.0620   0.5187
2016080700   30.8271 482.4494   1.2892 295.1357   3.6645   0.2229
2016080800   33.7261 514.6261   2.6136 295.5792   3.0058   0.0187
2016080900   53.9320 439.3026   2.2592 296.2487   2.5112   0.0062
2016081000   73.1839 659.5634   1.2323 299.1890   3.8794   0.0270
2016081100   79.8296 499.1500   3.5126 300.3584   2.9245   0.2844
2016081200   48.1089 359.0702   5.1160 298.3867   2.2350   0.5421
2016081300   23.7583 388.9163   3.1877 298.0393   2.9326   0.0397
2016081400   33.3814 432.4507   4.1706 297.7132   2.3072   0.0946
2016081500   26.5672 386.7801   3.2165 293.9178   2.5131   0.0325
2016081600   38.4856 486.2503   4.9687 296.5753   2.2386   0.0036
2016081700   65.2369 329.5129   2.5725 295.0830   2.4503   0.6165
2016081800   59.3923 294.0908   0.6172 292.9217   4.2587   1.6245
2016081900   34.7672 428.0297   1.8782 294.1547   3.7360   0.0232
2016082000   44.9605 443.2634   2.9921 295.7842   2.3547   0.0048
2016082100   54.1595 468.9220   4.6729 296.5972   2.2175   0.0156
2016082200   52.5147 461.9272   2.8761 296.6075   2.5272   0.0009
2016082300   67.7164 357.2552   2.4384 296.3747   3.0387   0.3010
2016082400   62.6981 432.2322   1.9266 296.8730   3.0683   0.2694
2016082500   17.1985 679.4595   0.7962 290.6169   5.4988   0.0027
2016082600   19.1710 590.1916   2.7703 290.6194   3.0513   0.0000
2016082700   18.0375 804.0283   2.2624 292.9637   3.8283   0.0125
2016082800   21.0417 724.4940   1.3502 292.9876   3.5171   0.0113
2016082900   30.0622 599.6343   2.9357 293.8642   2.6810   0.0084
2016083000   36.0115 619.6094   2.5770 293.6896   3.3927   0.0329
2016083100   19.2849 969.7199   0.4781 294.3482   5.6274   0.0266
2016090100   19.2992 629.3459  62.1251 291.2527   4.3117   0.0197
2016090200   27.5252 493.6135 129.9426 291.0482   2.4853   0.0301
2016090300   39.3671 466.3825 118.9936 291.6898   2.3349   0.0686
2016090400   52.8032 392.9866  79.7408 291.1463   3.2279   0.0883
2016090500   34.7249 538.6694 104.3400 293.2236   3.0316   0.0462
2016090600   31.1323 612.9080  66.1204 295.7495   3.2402   0.0354
2016090700   31.2985 633.3571 141.0666 292.9042   2.8838   0.0430
2016090800   30.5797 676.5189 185.9062 291.9703   2.7614   0.0371
2016090900   30.8456 631.1131  81.8235 292.8627   3.3380   0.0303
2016091000   41.5785 581.0710  54.5471 291.5726   2.6318   0.0838
2016091100   41.4563 291.2496 121.3653 288.8696   2.0431   0.3020
2016091200   51.2704 421.8809 178.6655 290.4771   1.8170   0.1221
2016091300   76.7430 459.6154  22.0441 290.6646   2.9978   0.0673
2016091400   77.1214 507.1770  50.5958 292.7676   3.4285   0.0325
2016091500   86.2440 565.8177  99.1721 294.1263   2.5124   0.0298
2016091600   99.8883 536.4800  25.9387 294.1429   3.3820   0.1011
2016091700   38.2038 297.0829  63.8691 289.4720   2.8985   0.2079
2016091800   29.8949 411.0793  43.5336 287.0374   3.2331   0.0714
2016091900   22.9470 628.6649  80.3814 287.2111   2.9379   0.0435
2016092000   33.2281 633.4820 197.0419 288.8934   2.2768   0.0596
2016092100   62.7703 425.5853  41.7401 288.6948   3.2476   0.0593
2016092200   94.0397 354.3892  87.4004 290.4947   2.5733   0.2723
2016092300  106.5579 397.8996  41.3418 291.9084   2.8012   0.0545
2016092400  116.2202 447.6872  58.8120 293.4771   3.7977   0.0614
2016092500  114.7188 416.0019  38.1274 291.7216   3.8710   0.0678
2016092600   70.9615 372.5136 101.5911 290.3806   3.3760   0.1916
2016092700   21.8316 639.0694   0.4421 284.9029   6.0856   0.0503
2016092800   26.9973 493.2448  88.1856 283.1302   2.6142   0.0408
2016092900   63.3826 389.1256 120.5792 286.5979   3.2654   0.0357
2016093000  100.2947 362.4278  94.5572 288.4091   3.0858   0.0456
2016100100  152.4660 311.3331 123.5309 291.1633   2.8995   0.0295
2016100200  140.4178 409.4240  35.2725 290.5216   3.4298   0.0336
2016100300   91.8537 511.6176  20.8248 290.3138   4.5655   0.0440
2016100400   34.9969 301.7921  18.0000 283.2380   4.3056   0.2020
2016100500   53.3417 456.7085  72.3102 285.2280   3.1997   0.0512
2016100600   50.4864 448.0275   8.5832 284.4755   4.3643   0.4231
2016100700   38.2438 535.3010   9.7596 280.9306   4.9605   0.1486
2016100800   20.5627 555.9871  12.6433 280.1343   4.3745   0.0510
2016100900   49.4326 473.2849  72.9747 282.2557   3.4447   0.0429
2016101000   74.5270 435.0668  30.8811 285.2890   4.4055   0.0407
2016101100   60.9892 381.7062  76.6979 282.2845   3.1528   0.0397
2016101200   87.2318 335.0842  68.8992 283.5735   3.2556   0.0474
2016101300  103.6698 344.4129  41.9635 288.4298   3.4104   0.0649
2016101400   82.2412 448.9073  53.1355 288.8619   3.5083   0.0727
2016101500  104.6029 415.6599 220.7988 286.5497   2.6598   0.1898
2016101600   80.0791 469.4691  28.7570 285.6971   3.8382   0.1010
2016101700   56.3038 369.2419  25.4887 283.0896   3.3876   0.0894
2016101800  139.3946 262.3426  49.2874 285.8501   3.0943   0.1008
2016101900  154.2719 339.1646  90.1187 288.4219   3.9857   0.1509
2016102000   36.6497 368.1889  20.0720 280.3058   4.9828   0.3955
2016102100   42.7878 338.7575  91.7847 279.9102   3.6179   0.5452
2016102200   26.4032 433.2398  84.4633 278.2499   3.7868   0.2259
2016102300   38.7035 302.4534 130.5248 278.5823   2.0649   0.1952
2016102400   73.2299 295.2052  44.8790 279.8935   3.1492   0.1950
2016102500   73.8560 415.0671   6.4617 283.3868   4.1922   0.2003
