Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2016010200  183.8875 155.0258 152.7040 270.7047   3.1498   5.0412
2016010300   94.8229 332.7201 152.5573 268.2987   3.7257   4.9267
2016010400   23.9071 456.8644  69.1390 265.2944   4.9423   4.7662
2016010500   32.7427 346.2646 103.2773 265.5317   4.3673   4.6216
2016010600   22.5997 398.7075  60.1519 265.6521   5.3555   4.4836
2016010700   21.3407 422.3454  55.0426 264.9530   5.6651   4.3394
2016010800   38.5062 295.9931 137.7282 265.7371   3.7562   4.2155
2016010900   88.5867 274.9341 135.2658 267.3447   3.4742   4.1112
2016011000   31.3508 432.4736  88.9728 265.8275   4.6054   4.0176
2016011100   17.6048 428.6402  63.4708 263.2194   5.0956   3.9107
2016011200   24.6525 432.2292  71.0317 263.7575   5.5579   3.8005
2016011300   34.4899 397.5077 100.3848 265.8379   4.4388   3.6667
2016011400   58.1787 348.5165 127.8099 267.3328   3.6260   3.5618
2016011500  105.9429 265.2957 209.5204 268.4703   2.6738   3.5244
2016011600   86.6495 361.9069  62.9726 266.0141   4.7677   4.4656
2016011700   26.9306 629.4332  60.3985 260.9863   5.6131   5.0230
2016011800   16.7325 635.6398  93.1010 259.7419   5.6093   4.8375
2016011900   54.2347 321.8774 195.8159 263.4165   2.6653   4.6952
2016012000   94.6542 345.4653 177.3655 265.2714   2.7087   4.7036
2016012100   59.0978 455.7747 129.2873 263.8488   4.5060   5.2634
2016012200   10.1347 854.9202  35.1224 255.8795   6.8158   5.4423
2016012300    8.7220 729.6296   6.9705 253.3870  10.2067   5.2865
2016012400   16.6773 478.0548  39.2618 261.6173   7.9861   5.0744
2016012500   28.7816 411.5493  74.2897 264.8419   5.2215   4.8385
2016012600   39.0157 361.7141 139.0201 264.3207   3.7352   4.6719
2016012700   76.4859 228.4709 204.2097 266.1787   2.5547   4.5412
2016012800   66.7124 309.0392 104.2938 266.0262   3.8721   4.4001
2016012900   47.3591 382.8146 171.8319 263.9569   3.0860   4.3186
2016013000   32.1701 501.8013 125.9315 262.8484   4.0924   4.3653
2016013100   23.9559 519.2646  81.8045 264.1482   5.0003   4.1997
2016020100   21.4705 392.4922  71.9374 266.0905   5.2467   4.0290
2016020200   34.0149 301.7294 138.1016 267.3819   3.5632   3.8572
2016020300   38.3100 434.3513  71.4190 268.5761   5.0160   3.6868
2016020400   22.4414 479.7128  62.5661 267.4698   5.4701   3.5013
2016020500   19.4032 581.0203  51.1382 266.8930   6.1429   3.3354
2016020600   35.1009 431.5351 119.7090 268.0160   3.9521   3.2050
2016020700   42.1961 456.7998  85.3626 270.0370   4.7003   3.0682
2016020800   30.7397 484.0927  65.4907 271.7874   5.4144   2.9282
2016020900   52.1251 260.4244 149.6899 272.5414   3.0421   2.7279
2016021000   92.3513 185.8948 163.5266 275.6544   2.8807   2.4261
2016021100  121.5877 158.4486 196.0445 276.6823   2.5134   2.2921
2016021200   90.6150 343.9780 109.2365 276.0578   5.2136   3.5250
2016021300    9.0372 702.6261   2.3216 265.8796  10.6069   4.9789
2016021400    9.7640 848.1122  13.0016 264.9539   8.1364   4.5743
2016021500   14.9376 785.8086  28.9298 268.8556   7.5721   4.2204
2016021600   21.4057 589.9985  87.6489 271.4753   5.8348   3.8543
2016021700   34.2772 664.0514  60.7399 273.8181   5.1793   3.4030
2016021800   22.7250 549.5963  86.0379 272.2935   5.0100   3.0658
2016021900   16.6007 776.0355  26.0129 269.2071   7.0641   2.8311
2016022000   26.9344 726.2281 143.6196 268.8204   4.2035   2.6162
2016022100   80.6945 575.6533 109.6532 271.6432   4.0652   2.4242
2016022200   36.7670 776.4239  31.6086 270.3694   6.9375   2.2250
2016022300   17.9420 750.5725  82.4997 267.5617   5.1658   2.0697
2016022400   25.1673 953.4113  81.9029 270.3840   4.4873   1.9277
2016022500   27.3506 829.8826 135.5410 271.0982   3.6186   1.7782
2016022600   32.7581 712.0989  62.2471 272.9809   4.9837   1.6414
2016022700   27.4654 716.2329 116.3231 272.3185   3.7352   1.5695
2016022800   17.9964 956.5559  50.1272 268.3137   6.9621   1.4961
2016022900   24.7449 923.2387  52.7723 269.0470   6.9030   1.4891
2016120100   38.1529 392.1770 124.4057 273.4505   3.5370   1.5561
2016120200  104.2636 200.4929 132.4156 276.7837   3.4062   1.2449
2016120300  160.5293 235.3627 121.7712 277.7850   3.6161   0.9872
2016120400  118.6098 507.3375  98.3889 274.3381   4.1150   0.8425
2016120500   28.8121 596.2925  90.9218 271.6487   5.1246   0.8018
2016120600   75.0903 372.1550  74.1447 274.9410   4.5174   0.6724
2016120700   95.0990 445.0159 134.8303 274.4075   3.5153   0.5947
2016120800   31.4511 678.2090  65.2661 272.8039   6.3572   0.5487
2016120900   36.5768 383.0259 224.6096 271.8107   2.3276   0.4829
2016121000   69.0099 291.0429 246.4719 272.4381   2.1550   0.4385
2016121100  154.8383 323.7039 173.5164 274.7593   3.0948   0.4062
2016121200  143.3269 394.6953 170.8773 274.2340   3.0108   0.5721
2016121300   37.0844 498.2430 233.0734 270.8978   2.2386   0.5600
2016121400   35.6956 566.5433 121.0796 270.9302   3.7259   0.5008
2016121500   39.3190 554.3749  94.0019 271.2629   4.6969   0.4384
2016121600   99.2050 288.1587  88.9593 275.4774   4.3936   0.3729
2016121700  151.6599 174.9295 207.9483 275.3035   2.4918   0.3315
2016121800  176.8657 158.4112 248.9076 275.2117   2.1808   0.3050
2016121900  168.2068 160.0744 220.9646 275.3809   2.4141   0.2782
2016122000  235.8509 166.7447 251.1746 275.8685   2.0339   0.2568
2016122100  282.9838 271.7277 224.4502 274.4433   2.4066   0.6146
2016122200   56.5218 669.9980  99.9570 270.7294   4.5459   1.0859
2016122300   61.4006 433.8894 201.0268 270.7810   2.5856   0.9646
2016122400   97.7008 318.3456 150.2982 271.5738   3.3280   0.8486
2016122500  101.7109 330.1695 149.3696 274.0052   3.7192   1.2564
2016122600   38.5079 496.7740 175.2175 269.2289   2.9532   2.5991
2016122700   55.2636 539.5347 124.6539 269.0077   3.3683   2.3038
2016122800   33.7148 635.5913  81.6448 269.0216   4.7874   1.9956
2016122900   50.8828 360.5317 130.8575 270.2654   3.3255   1.7103
2016123000   92.7728 262.2655 180.2356 272.5152   2.6714   1.4668
2016123100  111.9749 284.4933 163.4784 274.0814   2.9762   1.2470
